[regular verb]
aah,aahed
mischaracterize,mischaracterized
mischarge,mischarged
miscit,miscited
misclaim,misclaimed
misclass,misclassed
misclassify,misclassified
miscod,miscoded
miscoin,miscoined
miscolor,miscolored
miscompute,miscomputed
misconduct,misconducted
misconjecture,misconjectured
misconjugate,misconjugated
misconsecrate,misconsecrated
misconstrue,misconstrued
miscook,miscooked
miscopy,miscopied
miscorrect,miscorrected
miscounsel,miscounseled
miscounsell,miscounselled
miscount,miscounted
miscreate,miscreated
miscredit,miscredited
miscue,miscued
miscultivate,miscultivated
misdate,misdated
misdeem,misdeemed
misdefin,misdefined
misdeform,misdeformed
misdemean,misdemeaned
misderive,misderived
misdescribe,misdescribed
misdevote,misdevoted
misdiagnose,misdiagnosed
misdiagram,misdiagrammed
misdictate,misdictated
misdidive,misdidived
misdirect,misdirected
misdive,misdived
misdoubt,misdoubted
misease,miseased
misedit,misedited
misemphasize,misemphasized
misemploy,misemployed
misenroll,misenrolled
misenter,misentered
miserect,miserected
misesteem,misesteemed
misestimate,misestimated
misfeature,misfeatured
misfield,misfielded
misfil,misfiled
misfire,misfired
misfit,misfitted
misfocuse,misfocused
misfocuss,misfocussed
misform,misformed
misfortune,misfortuned
misfram,misframed
misgauge,misgauged
misgovern,misgoverned
misgrad,misgraded
misgraff,misgraffed
misgraft,misgrafted
misground,misgrounded
misguage,misguaged
misguess,misguessed
misguide,misguided
mishandle,mishandled
misidentify,misidentified
misimprove,misimproved
misincense,misincensed
misinfer,misinferred
misinform,misinformed
misinstruct,misinstructed
misinterpret,misinterpreted
misinter,misinterred
misyok,misyoked
misitemize,misitemized
misjoin,misjoined
misjudge,misjudged
mislabel,mislabeled
mislabel,mislabelled
mislabor,mislabored
mislearn,mislearned
misl,misled
misleer,misleered
mislike,misliked
mislive,mislived
misll,mislled
mislocate,mislocated
mislodge,mislodged
mismanage,mismanaged
mismatch,mismatched
mismate,mismated
mismeasure,mismeasured
mismind,misminded
mismove,mismoved
misname,misnamed
misnarrate,misnarrated
misnature,misnatured
misnavigate,misnavigated
misnom,misnomed
misnomer,misnomered
misnumber,misnumbered
misoccupy,misoccupied
misorganize,misorganized
mispackage,mispackaged
mispack,mispacked
mispage,mispaged
mispaint,mispainted
misparse,misparsed
mispart,misparted
mispatch,mispatched
mispen,mispenned
misphrase,misphrased
misplace,misplaced
misplant,misplanted
misplead,mispleaded
misple,mispled
mispoint,mispointed
mispoise,mispoised
mispossess,mispossessed
mispractice,mispracticed
mispractise,mispractised
misprejudice,misprejudiced
misprinciple,misprincipled
misprint,misprinted
misprise,misprised
misprize,misprized
misproduce,misproduced
mispronounce,mispronounced
misproportion,misproportioned
mispropose,misproposed
mispublicize,mispublicized
mispublish,mispublished
mispunctuate,mispunctuated
mispurchase,mispurchased
misquote,misquoted
misraise,misraised
misrate,misrated
misread,misreaded
misreckon,misreckoned
misrecollect,misrecollected
misrefer,misreferred
misregulate,misregulated
misrehearse,misrehearsed
misrelate,misrelated
misrely,misrelied
misremember,misremembered
misreport,misreported
misrepose,misreposed
misrepresent,misrepresented
misresolve,misresolved
misrhym,misrhymed
misrule,misruled
missample,missampled
misscribe,misscribed
misseate,misseated
misshape,misshaped
misship,misshipped
missyllabify,missyllabified
missione,missioned
missort,missorted
missound,missounded
misspace,misspaced
misspell,misspelled
misstart,misstarted
misstate,misstated
missteer,missteered
misstyle,misstyled
missuit,missuited
missuppose,missupposed
mist,misted
mistemper,mistempered
mistend,mistended
mister,mistered
misterm,mistermed
mysticize,mysticized
mystify,mystified
mistill,mistilled
mistim,mistimed
misty,mistyped
mistitle,mistitled
mistouch,mistouched
mistrace,mistraced
mistranscribe,mistranscribed
mistranslate,mistranslated
mistreate,mistreated
mistryst,mistrysted
mistrust,mistrusted
mistune,mistuned
mistutor,mistutored
misunderstand,misunderstanded
misuse,misused
misusur,misusurped
misvalue,misvalued
misvouch,misvouched
miswander,miswandered
misw,miswed
miswed,miswedded
miswire,miswired
misword,misworded
misworship,misworshiped
miszon,miszoned
clamp,clamped
miter,mitered
mythicise,mythicised
mythicize,mythicized
mythify,mythified
mythologize,mythologized
mythopoetise,mythopoetised
mythopoetize,mythopoetized
mithridatise,mithridatised
mithridatize,mithridatized
mitigat,mitigated
mir,mitred
mitten,mittened
mizzl,mizzled
mnemonize,mnemonized
moan,moaned
mob,mobbed
mo,mobed
mobilise,mobilised
mobilize,mobilized
modelead,modeled
modell,modelled
moderate,moderated
modernise,modernised
modernize,modernized
modify,modified
modularize,modularized
mog,mogged
moil,moiled
moisten,moistened
moisturize,moisturized
molassy,molassied
molder,moldered
molest,molested
molify,molified
mollycoddle,mollycoddled
mollify,mollified
molt,molted
monarchize,monarchized
money,moneyed
spell,spelled
monetise,monetised
monetize,monetized
monger,mongered
mongrelise,mongrelised
mongrelize,mongrelized
monie,monied
monilate,monilated
monish,monished
monitor,monitored
monkeye,monkeyed
monkeyfy,monkeyfied
monobromate,monobromated
monobrominate,monobrominated
monobromize,monobromized
monochlorinate,monochlorinated
monociliate,monociliated
monocle,monocled
monogram,monogramed
monogram,monogrammed
monograph,monographed
monologize,monologized
monomethylate,monomethylated
mononitrate,mononitrated
mononucleate,mononucleated
monophthongize,monophthongized
monopolise,monopolised
monopolize,monopolized
monoprogram,monoprogrammed
monorhym,monorhymed
monospor,monospored
monosubstitute,monosubstituted
montage,montaged
monumentalise,monumentalised
monumentalize,monumentalized
monument,monumented
mooch,mooched
moo,mooed
moon,mooned
moonface,moonfaced
moonshin,moonshined
moor,moored
moo,mooted
mo,moped
mophead,mopheaded
mop,mopped
moralise,moralised
moralize,moralized
morcellate,morcellated
mordant,mordanted
morne,morned
morphize,morphized
morsel,morseled
morsell,morselled
mortalize,mortalized
mortar,mortared
mortgage,mortgaged
mortice,morticed
mortify,mortified
mosaick,mosaicked
mosey,moseyed
mossback,mossbacked
moss,mossed
mo,moted
mothball,mothballed
moth,mothed
mother,mothered
mothproof,mothproofed
motion,motioned
motivate,motivated
motorcycle,motorcycled
motor,motored
motorise,motorised
motorize,motorized
motto,mottoed
mouch,mouched
mould,moulded
moulder,mouldered
moult,moulted
mound,mounded
mountain,mountained
mountaineer,mountaineered
mountebank,mountebanked
mourn,mourned
mouse,moused
mousetrap,mousetrapped
moustach,moustached
move,moved
much-advertise,much-advertised
laud,lauded
muck,mucked
muckrak,muckraked
mucronate,mucronated
mudcap,mudcapped
mud,mudded
muddybrain,muddybrained
muddy,muddied
muddyhead,muddyheaded
muddlebrain,muddlebrained
muddle,muddled
muddlehead,muddleheaded
mud-exhaust,mud-exhausted
muff,muffed
muff,muffled
mug,mugged
mugger,muggered
mulch,mulched
mulct,mulcted
mule,muled
mulefoote,mulefooted
mull,mulled
mullion,mullioned
multiarm,multiarmed
multiarticulate,multiarticulated
multibarrel,multibarreled
multiblad,multibladed
multibranch,multibranched
multicarinate,multicarinated
multicell,multicelled
multichamber,multichambered
multichannel,multichanneled
multichannell,multichannelled
multiciliate,multiciliated
multicylinder,multicylindered
multicircuit,multicircuited
multicolor,multicolored
multicuspidate,multicuspidated
multidenticulate,multidenticulated
multiengin,multiengined
multiface,multifaced
multifacet,multifaceted
multifiber,multifibered
multiflagellate,multiflagellated
multifoil,multifoiled
multiform,multiformed
multigranulate,multigranulated
multihead,multiheaded
multihue,multihued
multilayer,multilayered
multilaminate,multilaminated
multilan,multilaned
multilevel,multileveled
multilo,multilobed
multilobulate,multilobulated
multiloculate,multiloculated
multimotor,multimotored
multinucleate,multinucleated
multinucleolate,multinucleolated
multiovulate,multiovulated
multi,multiped
multiperforate,multiperforated
multiplate,multiplated
multiplex,multiplexed
multiply,multiplied
multiport,multiported
multiprogram,multiprogrammed
multipronge,multipronged
multiradiate,multiradiated
multiroom,multiroomed
multiroote,multirooted
multisacculate,multisacculated
multiseate,multiseated
multisegment,multisegmented
multispindle,multispindled
multistory,multistoried
multisulcate,multisulcated
multitag,multitagged
multitentacle,multitentacled
multithread,multithreaded
multito,multitoed
multiton,multitoned
multituberculate,multituberculated
multivalue,multivalued
multivalve,multivalved
multivoice,multivoiced
multivolume,multivolumed
mum,mummed
mummy,mummied
munch,munched
mundify,mundified
municipalize,municipalized
munit,munited
munition,munitioned
mural,muraled
murder,murdered
mure,mured
muriate,muriated
murmure,murmured
murphy,murphied
murther,murthered
muscle,muscled
muscovitize,muscovitized
muse,mused
mush,mushed
mushhead,mushheaded
mushroom,mushroomed
muskify,muskified
muslin,muslined
musroom,musroomed
muss,mussed
mussel,musseled
mustachio,mustachioed
must,musted
muster,mustered
mutate,mutated
mute,muted
mutilate,mutilated
mutin,mutined
mutineer,mutineered
mutiny,mutinied
mutter,muttered
muttonhead,muttonheaded
mutualise,mutualised
mutualize,mutualized
muzzl,muzzled
nab,nabbed
nacr,nacred
nagge,nagged
nai,nailed
nal,naled
napalm,napalmed
naphthalise,naphthalised
naphthalize,naphthalized
napkin,napkined
nap,napped
narcotise,narcotised
narcotize,narcotized
narrate,narrated
guage,guaged
narrowheart,narrowhearted
streete,streeted
nasalise,nasalised
nasalize,nasalized
nationalize,nationalized
natter,nattered
naturalize,naturalized
naturelike,natureliked
nauseate,nauseated
navel,naveled
navigate,navigated
nazify,nazified
neape,neaped
near,neared
sto,stored
neaten,neatened
nebulate,nebulated
nebulise,nebulised
nebulize,nebulized
necessitate,necessitated
necklace,necklaced
necropsy,necropsied
necrose,necrosed
necrotise,necrotised
necrotize,necrotized
nectar,nectared
nectary,nectaried
nectarise,nectarised
nectarize,nectarized
need,needed
need,needled
needlework,needleworked
negate,negated
negative,negatived
neglect,neglected
negotiate,negotiated
negritise,negritised
negritize,negritized
negroise,negroised
negroize,negroized
neighbore,neighbored
neighborstain,neighborstained
neighbour,neighboured
neigh,neighed
neologise,neologised
neologize,neologized
neon,neoned
neostyle,neostyled
neoterize,neoterized
nephrectomise,nephrectomised
nephrectomize,nephrectomized
nesslerise,nesslerised
nesslerize,nesslerized
nest,nested
nest,nestled
net,netted
nettle,nettlebed
nettle,nettled
networke,networked
neurologize,neurologized
neuter,neutered
neutralize,neutralized
daunt,daunted
be-equal,be-equaled
newfangle,newfangled
newlyw,newlywed
newmanise,newmanised
newspaperize,newspaperized
nib,nibbed
nibble,nibbled
nich,niched
nick,nicked
nickel,nickeled
nickelise,nickelised
nickelize,nickelized
nickell,nickelled
nickle,nickled
nickname,nicknamed
nicotin,nicotined
nicotinise,nicotinised
nicotinize,nicotinized
nictate,nictated
nictitate,nictitated
nide,nided
nidify,nidified
niellate,niellated
niell,nielled
niello,nielloed
niggard,niggarded
niggardise,niggardised
niggardize,niggardized
nig,nigged
nigger,niggered
niggle,niggled
nigh,nighed
nightcap,nightcapped
cloak,cloaked
enshroude,enshrouded
nigrify,nigrified
nill,nilled
nimbate,nimbated
nimb,nimbed
nimblebrain,nimblebrained
nimbuse,nimbused
nim,nimmed
ninet,nineted
nip,nipped
nipple,nippled
niter,nitered
nitpick,nitpicked
nitrate,nitrated
nir,nitred
nitride,nitrided
nitrify,nitrified
nitrogenise,nitrogenised
nitrogenize,nitrogenized
nitwit,nitwitted
nix,nixed
nobble,nobbled
courage,couraged
noble,nobled
nobleheart,noblehearted
nodate,nodated
nod,nodded
noddle,noddled
no,noded
nodulate,nodulated
nodule,noduled
nodulize,nodulized
noghead,nogheaded
noyad,noyaded
nominalize,nominalized
nominate,nominated
nonaccept,nonaccepted
nonaccredit,nonaccredited
nonacculturate,nonacculturated
nonaculeate,nonaculeated
nonaddict,nonaddicted
nonaerate,nonaerated
nonaffiliate,nonaffiliated
nonaffilliate,nonaffilliated
nonalign,nonaligned
nonalin,nonalined
nonalliterate,nonalliterated
nonanimate,nonanimated
nonarticulate,nonarticulated
nonaspirate,nonaspirated
nonassign,nonassigned
nonassume,nonassumed
nonatrophy,nonatrophied
nonattach,nonattached
nonbenefice,nonbeneficed
nonbiase,nonbiased
nonbigote,nonbigoted
nonblockad,nonblockaded
nonblood,nonblooded
nonbrand,nonbranded
nonbristle,nonbristled
nonbuttress,nonbuttressed
noncalcify,noncalcified
noncapitalize,noncapitalized
noncarbonate,noncarbonated
noncensor,noncensored
nonchannel,nonchanneled
nonchurch,nonchurched
nonciliate,nonciliated
noncircuit,noncircuited
noncircumvallate,noncircumvallated
noncloister,noncloistered
noncodify,noncodified
noncommission,noncommissioned
noncompromise,noncompromised
nonconcentrate,nonconcentrated
noncondense,noncondensed
nonconstitute,nonconstituted
nonconstrict,nonconstricted
noncontroll,noncontrolled
noncrenate,noncrenated
noncultivate,noncultivated
noncuspidate,noncuspidated
nondeafen,nondeafened
nondecorate,nondecorated
nondefin,nondefined
nondeflect,nondeflected
nondeform,nondeformed
nondegrease,nondegreased
nondeport,nondeported
nondepress,nondepressed
nondesign,nondesigned
nondesulfurize,nondesulfurized
nondesulphurize,nondesulphurized
nondilapidate,nondilapidated
nondisburse,nondisbursed
nondisease,nondiseased
nondisfranchise,nondisfranchised
nondisguise,nondisguised
nondispose,nondisposed
nondissipate,nondissipated
noneclipse,noneclipsed
nonedify,nonedified
nonelect,nonelected
nonelectrify,nonelectrified
nonelicit,nonelicited
nonenforce,nonenforced
nonenlighten,nonenlightened
nonenroll,nonenrolled
nonentail,nonentailed
nonenumerate,nonenumerated
nonerod,noneroded
nonexaggerate,nonexaggerated
nonexcept,nonexcepted
nonexhaust,nonexhausted
nonexpand,nonexpanded
nonextend,nonextended
nonfavor,nonfavored
nonfeature,nonfeatured
nonfederate,nonfederated
nonfenestrate,nonfenestrated
nonferment,nonfermented
nonfimbriate,nonfimbriated
nonflagellate,nonflagellated
nonfragment,nonfragmented
nonfrost,nonfrosted
nonfund,nonfunded
nongeneralize,nongeneralized
nongild,nongilded
nongill,nongilled
nongrad,nongraded
nongraduate,nongraduated
nongranulate,nongranulated
nonhallucinate,nonhallucinated
nonimpact,nonimpacted
nonimpregnate,nonimpregnated
nonincarnate,nonincarnated
nonincorporate,nonincorporated
nonindex,nonindexed
noninduce,noninduced
nonindurate,nonindurated
nonindustrialize,nonindustrialized
noninfect,noninfected
noninflect,noninflected
noninherit,noninherited
noninterface,noninterfaced
noninterrupt,noninterrupted
nonirradiate,nonirradiated
nonirrigate,nonirrigated
nonlaminate,nonlaminated
nonlead,nonleaded
nonlicense,nonlicensed
nonlitigate,nonlitigated
nonlixiviate,nonlixiviated
nonlocalize,nonlocalized
nonmanufacture,nonmanufactured
nonmedullate,nonmedullated
nonmicroprogram,nonmicroprogrammed
nonmotivate,nonmotivated
nonmulch,nonmulched
nonnucleate,nonnucleated
nonobligate,nonobligated
nonopinionate,nonopinionated
nonoxygenate,nonoxygenated
nonpenalize,nonpenalized
nonperfect,nonperfected
nonperforate,nonperforated
nonphosphorize,nonphosphorized
nonpigment,nonpigmented
nonplate,nonplated
nonpluse,nonplused
nonplush,nonplushed
nonpluss,nonplussed
nonpollute,nonpolluted
nonpossess,nonpossessed
nonpreform,nonpreformed
nonprejudice,nonprejudiced
nonprinciple,nonprincipled
nonprofess,nonprofessed
nonpross,nonprossed
nonraise,nonraised
nonrate,nonrated
nonrationalize,nonrationalized
nonreduce,nonreduced
nonrefin,nonrefined
nonreflect,nonreflected
nonregiment,nonregimented
nonregister,nonregistered
nonrelapse,nonrelapsed
nonrepeate,nonrepeated
nonrepress,nonrepressed
nonrestrict,nonrestricted
nonreverse,nonreversed
nonrhym,nonrhymed
nonsalary,nonsalaried
nonsaturate,nonsaturated
nonschedule,nonscheduled
nonsegment,nonsegmented
nonsegregate,nonsegregated
nonselect,nonselected
nonsequester,nonsequestered
nonskill,nonskilled
nonsolidify,nonsolidified
nonspecialize,nonspecialized
nonspecify,nonspecified
nonspirit,nonspirited
nonspor,nonspored
nonstriate,nonstriated
nonstricture,nonstrictured
nonstructure,nonstructured
nonsubject,nonsubjected
nonsubmerge,nonsubmerged
nonsubscript,nonsubscripted
nonsubstitute,nonsubstituted
nonsuit,nonsuited
nonsuppose,nonsupposed
nonsuppress,nonsuppressed
nontabulate,nontabulated
nonthread,nonthreaded
nontimber,nontimbered
nontitle,nontitled
nontolerate,nontolerated
nontreate,nontreated
nontune,nontuned
nonturbinate,nonturbinated
nonunit,nonunited
nonupholster,nonupholstered
nonvary,nonvaried
nonverbalize,nonverbalized
nonvisualize,nonvisualized
nonvitalize,nonvitalized
nonvitrify,nonvitrified
nonwarrant,nonwarranted
nonwet,nonwetted
nonzonate,nonzonated
noodge,noodged
noodle,noodled
noone,nooned
noose,noosed
normalise,normalised
nor,normed
norsel,norseled
norsell,norselled
noseband,nosebanded
pull,pulled
nosh,noshed
nostril,nostriled
nostrill,nostrilled
notarize,notarized
notate,notated
notch,notched
lobe,lobed
notify,notified
novelise,novelised
novelize,novelized
nuance,nuanced
nubble,nubbled
nucleate,nucleated
nucleolate,nucleolated
nudge,nudged
nudip,nudiped
nudzh,nudzhed
nuke,nuked
null,nulled
nullify,nullified
numb,numbed
number,numbered
numerate,numerated
nummulate,nummulated
numskull,numskulled
nuncupate,nuncupated
nunnate,nunnated
nun,nunned
nurl,nurled
nurse,nursed
nurture,nurtured
nutate,nutated
nutmeg,nutmegged
nut,nutted
nuzzl,nuzzled
wainscote,wainscoted
oarrowhead,oarrowheaded
obed,obeded
obelise,obelised
object,objected
oblate,oblated
wedgeshape,wedgeshaped
obstruct,obstructed
obtect,obtected
obviate,obviated
occidentalise,occidentalised
occidentalize,occidentalized
sunder,sundered
ocellate,ocellated
ocreate,ocreated
octofoil,octofoiled
octoradiate,octoradiated
octuple,octupled
oculate,oculated
odorize,odorized
officiat,officiated
ogle,ogled
oil,oiled
fuel,fueled
gather,gathered
olmst,olmsted
cusp,cusped
hum,humped
layer,layered
sepal,sepaled
onesign,onesigned
value,valued
onst,onsted
ontologise,ontologised
opal,opaled
opalize,opalized
openhand,openhanded
pollinate,pollinated
opercle,opercled
operculate,operculated
opiate,opiated
opiniate,opiniated
opinionate,opinionated
oppilate,oppilated
opprobriate,opprobriated
opt,opted
optimise,optimised
orbiculate,orbiculated
orbit,orbited
ordinate,ordinated
orientalise,orientalised
originate,originated
orthogonalize,orthogonalized
orthographise,orthographised
orthosubstitute,orthosubstituted
oscillate,oscillated
osculate,osculated
osmose,osmosed
ossiculate,ossiculated
outpraise,outpraised
outpromise,outpromised
outraise,outraised
outreache,outreached
outroll,outrolled
ovate,ovated
serrate,serrated
oven,ovened
overaccumulate,overaccumulated
overactivate,overactivated
overaggravate,overaggravated
overall,overalled
overannotate,overannotated
overapparel,overappareled
overappraise,overappraised
overattach,overattached
overburden,overburdened
overcall,overcalled
overcapitalise,overcapitalised
overcharge,overcharged
overcoach,overcoached
overcondense,overcondensed
overcontribute,overcontributed
overcontroll,overcontrolled
overcultivate,overcultivated
overdilate,overdilated
overdominate,overdominated
overdose,overdosed
overemulate,overemulated
overestimate,overestimated
overexhaust,overexhausted
overexpose,overexposed
overextend,overextended
overfill,overfilled
overfranchise,overfranchised
overfruit,overfruited
overgall,overgalled
overgesticulate,overgesticulated
overgraduate,overgraduated
overhaule,overhauled
overheate,overheated
overimpose,overimposed
overinflate,overinflated
overinhibit,overinhibited
overlegislate,overlegislated
overlighthead,overlightheaded
overlist,overlisted
overload,overloaded
overlook,overlooked
overmultiply,overmultiplied
overnovel,overnoveled
overplace,overplaced
overpollinate,overpollinated
overpopulate,overpopulated
overpraise,overpraised
overproduce,overproduced
overpromise,overpromised
overreach,overreached
overreduce,overreduced
overroast,overroasted
overrule,overruled
oversign,oversigned
overspangle,overspangled
overspeculate,overspeculated
overstall,overstalled
overstimulate,overstimulated
overstudy,overstudied
oversupply,oversupplied
oversweeten,oversweetened
overswell,overswelled
overtighten,overtightened
overtimber,overtimbered
overtinsel,overtinseled
overventilate,overventilated
overwast,overwasted
overween,overweened
oviculate,oviculated
oviposit,oviposited
ovulate,ovulated
oxalate,oxalated
oxidise,oxidised
oxidulate,oxidulated
oxygenate,oxygenated
ozonise,ozonised
pacify,pacified
packa,packaged
packet,packeted
packthread,packthreaded
paeanize,paeanized
pa,paed
paganise,paganised
paganize,paganized
pageant,pageanted
paginate,paginated
pay,payed
paillet,pailletted
pain-afflict,pain-afflicted
pain,pained
beplaster,beplastered
paize,paized
pajama,pajamaed
palace,palaced
palankeen,palankeened
palanquin,palanquined
palatalize,palatalized
palate,palated
paleheart,palehearted
liver,livered
visage,visaged
palfrey,palfreyed
palinod,palinoded
palisad,palisaded
palisado,palisadoed
palladinize,palladinized
palladiumize,palladiumized
palladize,palladized
pal,palled
palletize,palletized
palliate,palliated
palmate,palmated
palmatilo,palmatilobed
palmatipart,palmatiparted
palmatisect,palmatisected
pal,palmed
palmilobate,palmilobated
palmilo,palmilobed
palminerve,palminerved
palmip,palmiped
palmivein,palmiveined
palpate,palpated
pal,palped
palpitate,palpitated
palter,paltered
pamper,pampered
pamphletize,pamphletized
panach,panached
pancak,pancaked
pancreatectomize,pancreatectomized
pandy,pandied
pandurate,pandurated
panegyrize,panegyrized
panel,panelled
panfry,panfried
pange,panged
panhandle,panhandled
panhead,panheaded
panicke,panicked
stun,stunned
paniculate,paniculated
pann,panned
pannier,panniered
pansy,pansied
pansify,pansified
pantalet,pantaletted
pantaloon,pantalooned
pante,panted
pantil,pantiled
pantomim,pantomimed
paper-fill,paper-filled
papillate,papillated
papulate,papulated
parable,parabled
parabolise,parabolised
parabolize,parabolized
parachute,parachuted
parade,paraded
paradrop,paradropped
paraffin,paraffined
paraffinize,paraffinized
paragon,paragoned
paragraph,paragraphed
paralyse,paralysed
paralyze,paralyzed
parallel,paralleled
parallelepip,parallelepiped
parallelinerve,parallelinerved
parallelise,parallelised
parallelize,parallelized
parallell,parallelled
parallelopip,parallelopiped
paralogize,paralogized
parameterize,parameterized
parametrize,parametrized
parapet,parapeted
paraph,paraphed
paraphrase,paraphrased
parasitize,parasitized
parasol,parasoled
parasubstitute,parasubstituted
parathyroidectomize,parathyroidectomized
parboil,parboiled
parbuckle,parbuckled
parcel,parceled
parcell,parcelled
parchmentize,parchmentized
pard,parded
pardon,pardoned
pa,pared
parent,parented
parenthesize,parenthesized
parge,parged
parget,pargeted
parget,pargetted
parish,parished
parlay,parlayed
parl,parled
parley,parleyed
parochialise,parochialised
parody,parodied
parole,paroled
parquet,parqueted
par,parred
parrote,parroted
parse,parsed
parson,parsoned
partanhand,partanhanded
part,parted
parter,parterred
partial,partialed
partialise,partialised
participate,participated
particle,particled
particularise,particularised
particularize,particularized
party,partied
partimember,partimembered
parti-nam,parti-named
partition,partitioned
partnere,partnered
pash,pashed
pasquinad,pasquinaded
passage,passaged
passement,passemented
passepy,passepied
passion,passioned
stir,stirred
sway,swayed
thrill,thrilled
toss,tossed
waste,wasted
past,pasted
pasteurise,pasteurised
pasteurize,pasteurized
pastil,pastiled
pastill,pastilled
pastoral,pastoraled
pastoralize,pastoralized
pastor,pastored
pastorise,pastorised
pasture,pastured
patent,patented
pathe,pathed
pathway,pathwayed
patibulate,patibulated
patina,patinaed
patinate,patinated
patin,patined
patinize,patinized
patriarch,patriarched
patroll,patrolled
patronise,patronised
patronize,patronized
patt,patted
patten,pattened
patter,pattered
pattern,patterned
pauciarticulate,pauciarticulated
pauciradiate,pauciradiated
paucispirate,paucispirated
pauper,paupered
pauperise,pauperised
pauperize,pauperized
pause,paused
pavilion,pavilioned
pavonate,pavonated
pawn,pawned
peace,peaced
peach,peached
pea-comb,pea-combed
pea,pealed
pearley,pearleyed
pearlize,pearlized
teethe,teethed
pebble,pebbled
pebbleheart,pebblehearted
pech,peched
peckle,peckled
pectinate,pectinated
pectize,pectized
peculate,peculated
peculiarise,peculiarised
peculiarize,peculiarized
pe,ped
pedagogyal,pedagogyaled
pedate,pedated
pedatilo,pedatilobed
pedatinerve,pedatinerved
pedatisect,pedatisected
peddle,peddled
pedestal,pedestaled
pedestall,pedestalled
pedestrianise,pedestrianised
pedestrianize,pedestrianized
pedicel,pediceled
pedicellate,pedicellated
pedicell,pedicelled
pedicle,pedicled
pediculate,pediculated
pedicure,pedicured
pediment,pedimented
peduncle,peduncled
pedunculate,pedunculated
peek,peeked
pee,peened
pee,peeped
peer,peered
peeve,peeved
peg,pegged
pegleg,peglegged
pein,peined
peise,peised
pellet,pelleted
pelletize,pelletized
pelorize,pelorized
peltate,peltated
pelt,pelted
pelter,peltered
peltinerve,peltinerved
penalise,penalised
penalize,penalized
penance,penanced
pendant,pendanted
pend,pended
penetrate,penetrated
penicillate,penicillated
pennate,pennated
pennatisect,pennatisected
penn,penned
penny,pennied
penninerve,penninerved
pennivein,penniveined
pennon,pennoned
pension,pensioned
pensive,pensived
pentadecahydrate,pentadecahydrated
pentahydrate,pentahydrated
penthouse,penthoused
pester,pestered
peplose,peplosed
peplume,peplumed
pep,pepped
pepper,peppered
pepsinate,pepsinated
peptize,peptized
peptonise,peptonised
peptonize,peptonized
perambulate,perambulated
percentage,percentaged
perch,perched
perchlorinate,perchlorinated
percolate,percolated
percuss,percussed
perdure,perdured
peregrinate,peregrinated
perfect,perfected
perfectivise,perfectivised
perforate,perforated
perfume,perfumed
perfuse,perfused
perhydrogenize,perhydrogenized
peril,periled
perill,perilled
periphrase,periphrased
perish,perished
peritonealize,peritonealized
periwig,periwigged
periwigpate,periwigpated
periwinkle,periwinkled
perjure,perjured
permeate,permeated
perm,permed
permission,permissioned
permix,permixed
permutate,permutated
permute,permuted
perorate,perorated
peroxidize,peroxidized
perpetrate,perpetrated
perpetuate,perpetuated
perplex,perplexed
persecute,persecuted
persist,persisted
personalize,personalized
personate,personated
personify,personified
perspective,perspectived
pertain,pertained
pertur,perturbed
pertuse,pertused
peruse,perused
pervad,pervaded
pervert,perverted
pestle,pestled
petall,petalled
petere,petered
petiolate,petiolated
petiol,petioled
petition,petitioned
petrolize,petrolized
petroll,petrolled
pett,petted
petticoate,petticoated
pettifog,pettifogged
pettle,pettled
phagocytize,phagocytized
phagocytose,phagocytosed
phalanx,phalanxed
phalerate,phalerated
phantasy,phantasied
pharyngealize,pharyngealized
phase,phased
phenylate,phenylated
phenolate,phenolated
phenomenalize,phenomenalized
phenomenize,phenomenized
phial,phialed
phiall,phialled
phylactery,phylacteried
philanthropise,philanthropised
philanthropize,philanthropized
philosophise,philosophised
philosophize,philosophized
philter,philtered
philr,philtred
phimose,phimosed
physe,physed
physician,physicianed
physick,physicked
physique,physiqued
phlebotomise,phlebotomised
phlegmatize,phlegmatized
phlogose,phlogosed
phonate,phonated
phony,phonied
phosphate,phosphated
phosphatise,phosphatised
phosphatize,phosphatized
phosphorate,phosphorated
phosphoresce,phosphoresced
phosphoret,phosphoreted
phosphoret,phosphoretted
phosphorylate,phosphorylated
phosphorise,phosphorised
photocompose,photocomposed
photocopy,photocopied
photo,photoed
photoengrave,photoengraved
photoetch,photoetched
photograph,photographed
photoinduce,photoinduced
photosensitize,photosensitized
photosynthesize,photosynthesized
photostate,photostated
photostat,photostatted
phrase,phrased
phrensy,phrensied
piaff,piaffed
piazza,piazzaed
picaroon,picarooned
pickax,pickaxed
pickeer,pickeered
pickete,picketed
pickle,pickled
picnick,picnicked
picote,picoted
picrate,picrated
pictorialise,pictorialised
picture,pictured
picturize,picturized
piddle,piddled
pidgize,pidgized
piec,pieced
py,pied
pierce,pierced
piffle,piffled
pigeonheart,pigeonhearted
pigeonhol,pigeonholed
pig-foote,pig-footed
pig,pigged
piggyback,piggybacked
pighead,pigheaded
pigment,pigmented
pignorate,pignorated
pygostyle,pygostyled
pigstick,pigsticked
pigtail,pigtailed
pyjama,pyjamaed
pike,piked
pilaster,pilastered
pilastrad,pilastraded
pilaue,pilaued
pileate,pileated
pileolate,pileolated
pilfer,pilfered
pilgrimage,pilgrimaged
pillage,pillaged
pillar,pillared
pill,pilled
pillory,pilloried
pilot,piloted
pimp,pimped
pimple,pimpled
